ID Taxon Model Specimen ML WOB WCH WOR WIE VWMO HOB HCH HOR HP HPE
Annemys_ec Annemys_ endocast IVPP_V18106 26.66 7.13 9.73 10.05 6.14 7.38 4.14 5.65 5.91 1.33 4.61
Apalone_spinifera_1_ec Apalone_spinifera endocast FMNH_22178 36.29 8.32 16.69 6.02 5.1 6.3 6.62 10.66 9.97 2.19 8.45
Apalone_spinifera_2_ec Apalone_spinifera endocast R_12970 17.01 5.22 10.86 4.26 2.82 4.67 3.08 6.58 6.33 0.86 3.59
Apalone_spinifera_2_br Apalone_spinifera brain R_12970 17.6 5.62 10.66 4.6 2.3 3.67 3.2 6.16 2.76 0.9 1.69
Caretta_caretta_1_ec Caretta_caretta endocast NHMUK_1940.3.15.1 33.65 7.55 10.41 7.24 7.31 3.23 6.62 12.85 14.04 2.24 9.12
Caretta_caretta_2_ec Caretta_caretta endocast IW_1681 10.52 3.61 6.14 4.2 3.25 3.55 1.31 3.16 4.01 1.08 1.56
Caretta_caretta_2_br Caretta_caretta brain IW_1681 10.89 2.89 5.9 4.49 3.69 3.6 1.75 3.38 2.47 0.89 1.32
Carettochelys_insculpta_ec Carettochelys_insculpta endocast USNM_327690 29.33 8.27 14.67 8.06 3.82 5.7 4.36 8.68 9.17 1.7 4.46
Carettochelys_insculpta_br Carettochelys_insculpta brain USNM_327690 24.79 6.14 10.39 3.19 3.63 5.03 3.28 5.45 2.04 1.13 2.4
Chelodina_reimanni_ec Chelodina_reimanni endocast ZMB_H_49659 52.27 11.41 22.42 15.56 7.26 10.64 7.66 16.63 17.84 3.24 12.22
Chelonia_mydas_ec Chelonia_mydas endocast ZMB_37416_MS 96.06 21.51 28.7 27.8 18.33 20.86 13.52 52.87 41.99 5.72 30.35
Chelydra_serpentina_1_ec Chelydra_serpentina endocast UFR_VP1 52.35 5.43 14.05 16.28 10.55 8.17 8.38 17.65 16.95 1.8 10.18
Chelydra_serpentina_2_ec Chelydra_serpentina endocast R_14442 11.01 3.11 5.48 3.85 2.28 2.95 1.17 4.05 4.4 0.63 2.24
Chelydra_serpentina_2_br Chelydra_serpentina brain R_14442 10.32 2.94 5.42 3.37 2.26 2.5 1.73 4.25 1.95 1.05 1.53
Cuora_amboinensis_1_ec Cuora_amboinensis endocast NHMUK69.42.145_4 22.37 4.8 11.04 5.14 4.31 4.99 3.5 6.5 5.94 1.12 4.52
Cuora_amboinensis_2_ec Cuora_amboinensis endocast SMNS_4867-2 9.76 2.04 5.33 2.9 1.92 2.22 1.43 3.83 3.79 0.58 2.27
Cuora_amboinensis_2_br Cuora_amboinensis brain SMNS_4867-2 9.66 2.12 5.27 3.5 1.84 2.39 1.39 3.65 1.98 0.92 1.17
Emydura_subglobosa_2_ec Emydura_subglobosa endocast IW_92 10.12 3.13 5.95 3.91 2.65 2.28 2 4.27 4.86 0.62 3.37
Emydura_subglobosa_2_br Emydura_subglobosa brain IW_92 10.12 3.24 5.97 3.75 2.62 2.72 1.68 4.44 2.23 0.56 1.81
Emydura_subglobosa_1_ec Emydura_subglobosa endocast PIMUZ_2009.37 68.41 17.77 35.47 23.74 16.09 21.2 11.39 24.59 25.37 3.89 18.44
Emys_orbicularis_1_ec Emys_orbicularis endocast WGJ_1987a 54.76 12.97 25.51 11.9 10.35 11.99 6.14 17.44 18.86 3.38 15.25
Emys_orbicularis_2_ec Emys_orbicularis endocast SMNS_11390 10.15 3.78 6.15 3.35 2.89 2.95 1.28 3.75 4.42 0.51 2.16
Emys_orbicularis_2_br Emys_orbicularis brain SMNS_11390 9.83 2.87 5.09 4.37 2.42 2.8 1.55 3.42 1.93 1.03 1.44
Eubaena_cephalica_ec Eubaena_cephalica endocast DMNH_96004 33.19 7.8 10.72 11.35 5.82 4.5 4.24 7.11 13.73 1.29 8.09
Kinosternon_subrubrum_1_ec Kinosternon_subrubrum endocast FMNH_211711 16.95 4.16 7.71 3.6 1.95 3.07 2.71 6.02 6.13 0.7 4.1
