Taxon,ID,Clade,Specimen,endocast,brain
Apalone spinifera,Apalone_spinifera_S,Trionychidae,R12970,612.89,359.21
Caretta caretta,Caretta_caretta_S,Cheloniidae,IW1681,180.76,128.25
Carettochelys insculpta,Carettochelys_insculpta,Carettochelyidae,USNM 327690,1996.90,646.64
Chelydra serpentina,Chelydra_serpentina_S,Chelydridae,R14442,158.65,60.24
Cuora amboinensis,Cuora_amboinensis_S,Geoemydidae,SMNS 4867-2,111.06,87.74
Emydura subglobosa,Emydura_subglobosa_S,Chelidae,IW 92,144.601,94.1073
Emys orbicularis,Emys_orbicularis_S,Emydidae,SMNS 11390,151.50,114.77
Kinosternon subrubrum,Kinosternon_subrubrum_S,Kinosternidae,R 10089,247.74,136.55
Pelusios niger,Pelusios_niger,Pelomedusidae,SMNS 4625,1118.31,711.424
Platysternon megacephalum,Platysternon_megacephalum_S,Platysternidae,R 12559,577.642,246.83
Podocnemis erythrocephala,Podocnemis_erythrocephala,Podocnemididae,SMNS 6063,154.905,114.111
