Taxon WOB WCH WOR WIE VWMO HOB HCH HOR HP HPE
Apalone_spinifera 5.62 10.66 4.6 2.3 3.67 3.2 6.16 2.76 0.9 1.69
Caretta_caretta 2.89 5.9 4.49 3.69 3.6 1.75 3.38 2.47 0.89 1.32
Carettochelys_insculpta 6.14 10.39 3.19 3.63 5.03 3.28 5.45 2.04 1.13 2.4
Chelydra_serpentina 2.94 5.42 3.37 2.26 2.5 1.73 4.25 1.95 1.05 1.53
Cuora_amboinensis 2.12 5.27 3.5 1.84 2.39 1.39 3.65 1.98 0.92 1.17
Emydura_subglobosa 3.24 5.97 3.75 2.62 2.72 1.68 4.44 2.23 0.56 1.81
Emys_orbicularis 2.87 5.09 4.37 2.42 2.8 1.55 3.42 1.93 1.03 1.44
Kinosternon_subrubrum 3.63 6.59 3.18 1.79 2.21 2.22 4.45 1.89 1.01 0.99
Pelusios_niger 2.74 4.86 3.43 2 2.57 1.27 3.73 1.75 1.32 1.49
Platysternon_megacephalum 4.08 7.67 5.05 3.95 4.1 2.21 5.03 2.43 1.46 1.43
Podocnemis_erythrocephala 2.2 6.78 3.67 3 3.19 2.32 4.1 1.77 0.54 1.14
