Taxon WOB WCH WOR WIE VWMO HOB HCH HOR HP HPE
Apalone_spinifera 5.22 10.86 4.26 2.82 4.67 3.08 6.58 6.33 0.86 3.59
Caretta_caretta 3.61 6.14 4.2 3.25 3.55 1.31 3.16 4.01 1.08 1.56
Carettochelys_insculpta 8.27 14.67 8.06 3.82 5.7 4.36 8.68 9.17 1.7 4.46
Chelydra_serpentina 3.11 5.48 3.85 2.28 2.95 1.17 4.05 4.4 0.63 2.24
Cuora_amboinensis 2.04 5.33 2.9 1.92 2.22 1.43 3.83 3.79 0.58 2.27
Emydura_subglobosa 3.13 5.95 3.91 2.65 2.28 2 4.27 4.86 0.62 3.37
Emys_orbicularis 3.78 6.15 3.35 2.89 2.95 1.28 3.75 4.42 0.51 2.16
Kinosternon_subrubrum 3.49 6.79 3.1 2.18 3.33 1.06 3.87 4.43 0.74 2.89
Pelusios_niger 2.74 5.23 2.82 2.23 2.56 2.05 3.25 4.3 0.64 2.56
Platysternon_megacephalum 4.25 8.45 4.28 4.37 3.86 3.14 5.67 6.61 0.38 2.96
Podocnemis_erythrocephala 2.59 6.52 3.55 3.04 2.82 2.41 3.89 5.53 0.57 1.38
